disease,symptom
Fungal Infection,itching
Fungal Infection,skinrash
Fungal Infection,nodalskineruptions
Fungal Infection,dischromic_patches
Allergy,continuoussneezing
Allergy,shivering
Allergy,chills
Allergy,wateringfromeyes
Gerd,stomachpain
Gerd,acidity
Gerd,ulcersontongue
Gerd,vomiting
Gerd,cough
Gerd,chestpain
Chronic Cholestasis,itching
Chronic Cholestasis,vomiting
Chronic Cholestasis,yellowishskin
Chronic Cholestasis,nausea
Chronic Cholestasis,lossofappetite
Chronic Cholestasis,abdominalpain
Chronic Cholestasis,yellowingofeyes
Drug Reaction,itching
Drug Reaction,skinrash
Drug Reaction,stomachpain
Drug Reaction,burningmicturition
Drug Reaction,spotting_urination
Peptic Ulcer Diseae,vomiting
Peptic Ulcer Diseae,lossofappetite
Peptic Ulcer Diseae,abdominalpain
Peptic Ulcer Diseae,passageofgases
Peptic Ulcer Diseae,internalitching
Peptic Ulcer Diseae,indigestion
Aids,musclewasting
Aids,patchesinthroat
Aids,highfever
Aids,extramaritalcontacts
Diabetes,fatigue
Diabetes,weightloss
Diabetes,restlessness
Diabetes,lethargy
Diabetes,irregularsugarlevel
Diabetes,blurredanddistortedvision
Diabetes,obesity
Diabetes,excessivehunger
Diabetes,increasedappetite
Diabetes,polyuria
Gastroenteritis,vomiting
Gastroenteritis,sunkeneyes
Gastroenteritis,dehydration
Gastroenteritis,diarrhoea
Bronchial Asthma,fatigue
Bronchial Asthma,cough
Bronchial Asthma,highfever
Bronchial Asthma,breathlessness
Bronchial Asthma,familyhistory
Bronchial Asthma,mucoidsputum
Hypertension,headache
Hypertension,chestpain
Hypertension,dizziness
Hypertension,lossofbalance
Hypertension,lackofconcentration
Migraine,acidity
Migraine,indigestion
Migraine,headache
Migraine,blurredanddistortedvision
Migraine,excessivehunger
Migraine,stiffneck
Migraine,depression
Migraine,irritability
Migraine,visualdisturbances
Cervical Spondylosis,backpain
Cervical Spondylosis,weaknessinlimbs
Cervical Spondylosis,neckpain
Cervical Spondylosis,dizziness
Cervical Spondylosis,lossofbalance
Paralysis (Brain Hemorrhage),vomiting
Paralysis (Brain Hemorrhage),headache
Paralysis (Brain Hemorrhage),weaknessofonebodyside
Paralysis (Brain Hemorrhage),alteredsensorium
Jaundice,itching
Jaundice,vomiting
Jaundice,fatigue
Jaundice,weightloss
Jaundice,highfever
Jaundice,yellowishskin
Jaundice,darkurine
Jaundice,abdominalpain
Malaria,chills
Malaria,vomiting
Malaria,highfever
Malaria,sweating
Malaria,headache
Malaria,nausea
Malaria,musclepain
Malaria,diarrhoea
Chicken Pox,itching
Chicken Pox,skinrash
Chicken Pox,fatigue
Chicken Pox,lethargy
Chicken Pox,highfever
Chicken Pox,headache
Chicken Pox,lossofappetite
Chicken Pox,mildfever
Chicken Pox,swelledlymphnodes
Chicken Pox,malaise
Chicken Pox,redspotsoverbody
Dengue,skinrash
Dengue,chills
Dengue,jointpain
Dengue,vomiting
Dengue,fatigue
Dengue,highfever
Dengue,headache
Dengue,nausea
Dengue,lossofappetite
Dengue,painbehindtheeyes
Dengue,backpain
Dengue,musclepain
Dengue,redspotsoverbody
Dengue,malaise
Typhoid,chills
Typhoid,vomiting
Typhoid,fatigue
Typhoid,highfever
Typhoid,nausea
Typhoid,constipation
Typhoid,abdominalpain
Typhoid,diarrhoea
Typhoid,toxiclooktyphos
Typhoid,bellypain
Typhoid,headache
Hepatitis A,jointpain
Hepatitis A,vomiting
Hepatitis A,yellowishskin
Hepatitis A,darkurine
Hepatitis A,nausea
Hepatitis A,lossofappetite
Hepatitis A,abdominalpain
Hepatitis A,diarrhoea
Hepatitis A,mildfever
Hepatitis A,yellowingofeyes
Hepatitis A,musclepain
Hepatitis B,itching
Hepatitis B,fatigue
Hepatitis B,lethargy
Hepatitis B,yellowishskin
Hepatitis B,darkurine
Hepatitis B,lossofappetite
Hepatitis B,abdominalpain
Hepatitis B,yellowurine
Hepatitis B,yellowingofeyes
Hepatitis B,malaise
Hepatitis B,receivingbloodtransfusion
Hepatitis B,receivingunsterileinjections
Hepatitis C,fatigue
Hepatitis C,yellowishskin
Hepatitis C,nausea
Hepatitis C,lossofappetite
Hepatitis C,familyhistory
Hepatitis C,yellowingofeyes
Hepatitis D,jointpain
Hepatitis D,vomiting
Hepatitis D,fatigue
Hepatitis D,yellowishskin
Hepatitis D,darkurine
Hepatitis D,nausea
Hepatitis D,lossofappetite
Hepatitis D,abdominalpain
Hepatitis D,yellowingofeyes
Hepatitis E,jointpain
Hepatitis E,vomiting
Hepatitis E,fatigue
Hepatitis E,highfever
Hepatitis E,yellowishskin
Hepatitis E,darkurine
Hepatitis E,nausea
Hepatitis E,lossofappetite
Hepatitis E,abdominalpain
